region_clean,cent_lat,cent_lon
monthelie le meix bataille,46.96121,4.77097
saint aubin derriere chez edouard,46.93449999999999,4.7446
la tache,46.243599999999994,1.826016
chambolle musigny aux combottes,44.136348,0.08720100000000001
vosne romanee les chaumes,47.093700000000005,4.571600000000001
chambolle musigny les chatelots,46.961932,4.919737
clos de la roche,47.180800000000005,4.934481000000002
maranges premier cru,46.8945,4.6822
vosne romanee aux brulees,47.0937,4.5716
chambolle musigny les amoureuses,43.482674999999986,1.220464
bourgogne epineuil,47.8479,3.951
vin de pays vignobles de france,46.60335,1.88833
les fremiers,46.9443,4.7667
pernand vergelesses les fichots,47.058,4.863
cite de carcassonne,43.21321,2.35109
givry le vigron,46.7908,4.7429
givry en choue,46.7926,4.7414
beaune sur les greves clos sainte anne,47.0168,4.8416
bandol,42.747380000000014,0.10060000000000001
savigny les beaune aux clous,47.0583,4.8201
premieres cotes de bordeaux,44.7743,-0.3139
gevrey chambertin les goulots,47.150505,4.911624
morey saint denis monts luisants,47.236725,4.751545
pernand vergelesses,47.0573,4.8458
la chaniere,46.955,4.76
gevrey chambertin la bossiere,47.2287,4.9653
maranges clos de la boutiere,46.908,4.714
rully premier cru,46.8699,4.7478
cevennes,44.10000000000001,3.75
chorey les beaune,47.0471,4.8613
saumur,47.26666999999998,-0.06667
corton le rognet et corton,47.072,4.87
coteaux de beziers,43.35,3.25
chiroubles,42.88181999999999,0.2585700000000001
julienas,43.74450000000001,2.12329
chambolle musigny les cras,47.1728,4.9694
santenay beauregard,46.91588000000001,4.69892
chambolle musigny les feusselottes,47.172000000000004,4.9713
chambolle musigny les baudes,47.133346,4.896175
saint chinian,43.43333,2.949999999999999
coteaux denserune,43.31667,3.13333
coteaux de pierrevert,44.04999999999999,5.8
nuits saint georges les pruliers,47.132,4.945999999999999
monthelie le clou des chenes,46.9575,4.769
latricieres chambertin,47.237,4.963400000000001
morgon,43.17556999999997,2.9643299999999964
chambolle musigny premier cru,47.18600000000001,4.968000000000003
reuilly,44.12284,1.9149
chenas,46.25545999999998,4.700249999999998
beaune le clos des mouches,47.041665,5.069814
maranges clos de la fussiere,46.8881,4.6801
cotes du rhone villages sablet,44.21667,5.01667
auxey duresses les duresses,46.9578,4.7635
mercurey les vasees,46.8268,4.746
bonnes mares,46.93818999999999,5.030046
monthelie sur la velle,46.9608,4.7701
volnay les caillerets,46.944759999999995,4.76509
beaune aux cras,47.024,4.842
cotes de thongue,43.5,3.31667
coteaux du libron,43.31667,3.21667
givry premier cru,46.794900000000005,4.7438
ladoix la corvee,47.0609,4.86092
cte de beaune villages,46.97,4.78
savigny les beaune les peuillets,47.0541,4.8313
montrachet grand cru,46.676639,4.081605
beaune les tuvilains,47.015899999999995,4.839199999999999
monthelie les champs fulliots,46.958,4.771
beaune les toussaints,47.0145,4.837
savigny les beaune la dominode,47.0593,4.822699999999999
volnay fremiets,46.9438,4.7643
corton les greves,47.196343,4.726777
cotes de thau,43.4,3.6
cheverny,42.89202,2.3434400000000006
santenay clos rousseau,46.9099,4.6911
moulin a vent,42.69468999999996,0.15877000000000002
bellet,43.7234,7.190900000000001
beaune les vignes franches,47.01711999999999,4.83712
santenay clos faubard,46.914,4.699
mercurey les naugues,46.832,4.7432
monthelie les clous,46.957,4.768
volnay clos de la cave des ducs,46.9441,4.766
vosne romanee premier cru,47.09369999999998,4.571600000000003
volnay clos des 60 ouvrees,47.197991,4.74596
mercurey les champs martin,46.8312,4.743
clos de verger,46.9432,4.7642
canon fronsac,45.11275,1.5508899999999999
