Winery,Wine,vintage,Rating,num_review,region,price
Domaine de Rochemond,Domaine du Grand Becassier Côtes du Rhône 2022,2022,3.4,415,cotes-du-rhone,8.6
Anne de Joyeuse,Oustal Rouge 2023,2023,3.5,28,vin-de-pays-doc,8.6
J. de Villebois,Pinot Noir 2023,2023,3.9,66,vin-de-pays-vignobles-de-france,8.6
Jean-Francois Protheau,Beaujolais-Villages 2019,2019,3.5,45,beaujolais-villages,8.6
Château de la Cour d'Argent,Bordeaux Supérieur 2021,2021,3.5,2691,bordeaux-superieur,8.6
Domaine de la Paroisse,Coup de Coeur Rouge 2023,2023,3.7,51,cote-roannaise,8.6
Domaine de Fontavin,Les Vignes de Jo 2024,2024,3.6,188,vin-de-pays-vignobles-de-france,8.6
Château Bouissel,Le Beau Vin 2020,2020,3.7,265,fronton,8.65
Château Reynier,Château Tour de Boisset Bordeaux Supérieur Biologique 2016,2016,3.5,44,bordeaux-superieur,8.65
Vignobles Meyre,Château les Hauts de Veyrin Listrac-Médoc 2016,2016,3.4,35,listrac,8.7
Domaine de Perilliere,Costières-de-Nîmes 2023,2023,3.6,927,costieres-de-nimes,8.7
Rock M'Roll,Cabernet Franc 2022,2022,3.7,145,loire-valley,8.7
Les Jamelles,Minimalist Syrah - Grenache 2023,2023,3.8,210,vin-de-pays-doc,8.7
Dom Brial,El Cami Sans Sulfites 2023,2023,3.5,28,cotes-catalanes,8.7
Château Les Donats,Bergerac Rouge 2022,2022,3.4,251,bergerac,8.78
Les Volets,Côtes de Thau Cabernet Sauvignon 2021,2021,3.7,199,cotes-de-thau,8.8
Mas de Valériole,Fanfaron Terre de Camargue 2023,2023,3.6,90,vin-de-pays-doc,8.8
Marquis de Saint-Estèphe,Châtellenie Haut-Médoc 2018,2018,3.7,284,haut-medoc,8.8
Domaine des Grandes Esperances,La Java des Esperances Rouge 2023,2023,3.4,222,touraine,8.8
Domaine Rière Cadène,J'ai Rendez-Vous Avec Vous Rouge 2022,2022,3.6,298,cotes-catalanes,8.8
Cellier des Chartreux,Cuvée des Chartreux Belle Emilie Rouge 2023,2023,3.4,27,gard,8.8
Chateau Amanieu d'Albret,Quidam Bordeaux Superieur 2018,2018,4.2,121,bordeaux-superieur,8.8
Domaine des Mathurins,Tango Pour Hélène Saint-Chinian 2022,2022,3.7,181,saint-chinian,8.8
Domaine de Carmignan,Côtes-du-Rhône Rouge 2018,2018,4.0,631,cotes-du-rhone,8.8
Domaine de Gaïa,Harmonie 2017,2017,3.6,105,vin-de-pays-vignobles-de-france,8.8
Château du Hâ,Haut-Médoc 2022,2022,3.7,533,haut-medoc,8.8
Château Saint-Florin,Bordeaux Rouge 2017,2017,3.5,44,bordeaux,8.82
Domaine du Barrau,Bordeaux Rouge 2016,2016,3.6,34,bordeaux,8.88
Château Penin,Cabernet Franc 2017,2017,3.6,65,bordeaux,8.9
La Célestière,Vin de Pays de Vaucluse 2022,2022,3.7,828,vaucluse,8.9
Les Notables de Maucaillou,Le B de Maucaillou 2021,2021,3.6,36,bordeaux-superieur,8.9
Château Haut-Bergeron,Le Clos des Pins Graves 2022,2022,3.8,62,graves,8.9
Clos des Lunes,La Petite Lune 2022,2022,3.9,54,bordeaux,8.9
Château du Moulin Rouge,Château Beau Secret Haut-Médoc 2020,2020,3.6,233,haut-medoc,8.9
Pelaquie,Galia Côtes du Rhône 2022,2022,4.0,243,cotes-du-rhone,8.9
Lionel Osmin & Cie,Les Villas Villa des Causses Malbec 2023,2023,3.5,1907,guyenne,8.9
Château La Lauzette-Declercq,Haut-Médoc 2018,2018,3.8,130,haut-medoc,8.9
Mouthes le Bihan,L’aimé Chai 2019,2019,3.8,25,ctes-de-duras,8.9
Côte des Roses,Pinot Noir 2022,2022,3.8,103,vin-de-pays-doc,8.9
M. Chapoutier,Belleruche Côtes-du-Rhône 2023,2023,3.8,378,cotes-du-rhone,8.9
Domaine de la Brillane,L'Odyssée 2020,2020,3.7,79,vin-de-pays-de-mediterranee,8.9
Filles de Septembre,Tradition 2023,2023,3.8,173,languedoc,8.9
Gérard Bertrand,Solar 6 Syrah 2022,2022,3.8,124,cevennes,8.9
Château Larrivaux,L'X de Larrivaux Haut-Medoc 2013,2013,3.0,37,haut-medoc,8.9
Domaine de l'Hortus,Le Loup dans la Bergerie 2023,2023,3.7,145,saint-guilhem-le-desert,8.9
